FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,d0,d1,Degradation,Evapotranspiration,g0,Growth,infil c,Infiltration,k et,k perc,r,Percolation,NDVI sim raw,NDVI sim,NDVI obs,Precipitation norm,precipitation,Soil Water,Vegetation Biomass
119,0,1,1,0.08,0.35,0.025999999999999995,0.0012000000000000001,0.01,0.017549999999999996,0.6,0.03471037902259011,0.05,0.15,0.5,0.045,0.11122300153241528,0.11122300153241528,0.093,0.08264375957759551,105.363,0.3,0.08
119,0,1,1,0.08,0.35,0.023541478833326787,0.001032145880953316,0.01,0.015812172615142922,0.6,0.004571161661250704,0.05,0.15,0.5,0.04327655685338851,0.0988682736825108,0.11122300153241528,0.089,0.010707960515692564,16.37,0.2885103790225901,0.07155
119,0,1,1,0.08,0.35,0.021885999036978018,0.0007938427556004172,0.01,0.013247702745872456,0.6,0.009814337389817025,0.05,0.15,0.5,0.03731592569242484,0.09986591124319208,0.0988682736825108,0.088,0.021774011656315435,30.06,0.24877283794949895,0.06382069378181614
119,0,1,1,0.08,0.35,0.01947016575432683,0.0006083235952398169,0.01,0.01103757369890149,0.6,0.011508370371621356,0.05,0.15,0.5,0.033071611033693604,0.09945513496275182,0.09986591124319208,0.092,0.02460559508550477,33.563,0.22047740689129072,0.05518239749071058
119,0,1,1,0.08,0.35,0.016857650491236074,0.00046353797799093973,0.01,0.009167523329423541,0.6,0.030582290374716315,0.05,0.15,0.5,0.029745876395096797,0.10484753495012664,0.09945513496275182,0.108,0.06357846504123824,81.777,0.19830584263397866,0.04674980543528524
119,0,1,1,0.08,0.35,0.014079547267200843,0.00038801634148463124,0.01,0.008180287325383423,0.6,0.16364529190719654,0.05,0.15,0.5,0.029801807795341084,0.14836445473322724,0.10484753495012664,0.138,0.34036554316174983,424.195,0.19867871863560724,0.0390596782734727
119,0,1,1,0.08,0.35,0.010404181885398598,0.0005506854281733104,0.01,0.010389654331424351,0.6,0.13359443296200785,0.05,0.15,0.5,0.0498201279608967,0.1466578679875698,0.14836445473322724,0.168,0.3333864134650268,415.561,0.332134186405978,0.033160418331655284
119,0,1,1,0.08,0.35,0.009434141469680813,0.0006883702235317188,0.01,0.011808621483386815,0.6,0.1800452987280477,0.05,0.15,0.5,0.062303670896837374,0.17543674883943805,0.1466578679875698,0.196,0.5132634985104372,638.09,0.41535780597891586,0.033145890777681035
119,0,1,1,0.08,0.35,0.008654756003085023,0.0009455719196016289,0.01,0.013990511811992994,0.6,0.08765136723532596,0.05,0.15,0.5,0.07986165953798917,0.1435397423244892,0.17543674883943805,0.149,0.3124231577834407,389.627,0.5324110635865945,0.035520370791387035
119,0,1,1,0.08,0.35,0.00985697689484312,0.0011015939347548188,0.01,0.015355634244936186,0.6,0.03175061971836237,0.05,0.15,0.5,0.08088827990464945,0.1124620152004712,0.1435397423244892,0.112,0.11485251587776055,145.209,0.5392551993643296,0.04085612660029501
